Monark;Ukendt eller Usikkert Fødeår;Født;Ukendt eller Usikkert Dødeår;Død;Ca Regeringstid eller Usikkert Regeringstid eller ekstra Data;Regerings start;Regerings slut;Antal år;Slægt;Gift med;Ukendt eller Usikkert Fødeår;Født;Ukendt eller Usikkert Dødeår;Død;Kone 2;Født;Ukendt eller Usikkert Dødeår;Død;Kone 3;Født;Død
Angantyr;Ja;NA;Ja;NA;før 714;714;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sigfred;Ja;NA;NA;NA;Nævnt 777, 782 og 798;NA;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gudfred;Ja;NA;Nej;810;NA;NA;810;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hemming;Ja;NA;Ja;812;Nej;810;812;2;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Harald Klak og Reginfred;Ja;NA;Ja;810;Første regeringsperiode  ;812;813;1;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Flere Gudfredsønner;Ja;NA;Ja;NA;NA;813;827;14;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Horik 1. ;Ja;NA;Nej;854;fra 814;814;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Harald Klak og Reginfred;Ja;NA;Ja;Efter 841;Anden regeringsperiode;819;827;8;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Horik 2. ;Ja;NA;Ja;NA;Ingen direkte data til slutningen;854;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sigfred og Halvdan ;Ja;NA;Ja;NA;Regerede sammen - nævnt i 873 ;NA;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Helge ;Ja;NA;Ja;NA;Efter 891 - er nævnt i nordisk mytologi;NA;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Olaf ""fra Sverige"" ";Ja;NA;Ja;NA;NA;NA;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gnupa ;Ja;NA;Ja;NA;Før 900;900;NA;0;Før Gorm den Gamle;Asfrid Odinskardatter;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sigtryg ;Ja;NA;Ja;NA;Omkring 900;900;NA;0;Før Gorm den Gamle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
